包	B_at_1
还	B_ot_1_f_PP
不	I_ot_1_f_PP
错	I_ot_1_f_PP
，	O
忘	O
记	O
拍	O
照	O
了	O
，	O
物	B_at_11
流	I_at_11
还	B_ot_11_f_PP
蛮	I_ot_11_f_PP
快	I_ot_11_f_PP

一	O
如	O
既	O
往	O
的	O
好	O
，	O
应	O
该	O
是	B_ot_3_m_PP
正	I_ot_3_m_PP
品	I_ot_3_m_PP
，	O
还	O
会	O
再	O
次	O
光	O
顾	O
的	O
！	O

今	O
天	O
到	O
货	O
就	O
用	O
了	O
，	O
效	O
果	O
不	B_ot_4_m_PP
错	I_ot_4_m_PP
?	O

很	B_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP
，	O
而	O
且	O
还	O
有	B_ot_7_m_PP
美	I_ot_7_m_PP
白	I_ot_7_m_PP
效	I_ot_7_m_PP
果	I_ot_7_m_PP
，	O
感	O
觉	O
都	O
不	O
用	O
素	O
颜	O
霜	O
了	O
?	O

还	O
没	O
用	O
，	O
第	O
一	O
次	O
买	O
这	O
个	O
牌	O
子	O
的	O
，	O
希	O
望	O
不	O
会	O
让	O
我	O
失	O
望	O
，	O
主	O
要	O
是	O
挺	B_ot_0_m_PP
实	I_ot_0_m_PP
惠	I_ot_0_m_PP
的	O

这	O
个	O
面	O
膜	O
买	O
来	O
还	O
没	O
用	O
，	O
不	O
过	O
一	O
直	O
用	O
*	O
*	O
*	O
，	O
所	O
以	O
先	O
给	O
好	B_ot_4_m_PU
评	I_ot_4_m_PU
吧	O
！	O

到	O
货	O
还	O
没	O
有	O
用	O
，	O
应	O
该	O
好	O
用	O
。	O
看	O
上	O
去	O
很	B_ot_1_m_PP
大	I_ot_1_m_PP
气	I_ot_1_m_PP
。	O

看	O
着	O
还	B_ot_4_m_PP
挺	I_ot_4_m_PP
多	I_ot_4_m_PP
的	I_ot_4_m_PP
头	O
天	O
晚	O
上	O
买	O
的	O
第	O
二	O
天	O
就	O
到	O
了	O
就	O
差	O
明	O
天	O
使	O
用	O
效	O
果	O
了	O

一	O
直	O
在	O
用	O
这	O
款	O
隔	O
离	O
霜	O
，	O
超	B_ot_4_m_PP
级	I_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP

性	B_at_0
价	I_at_0
比	I_at_0
很	B_ot_0_f_PP
高	I_ot_0_f_PP
，	O
很	B_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP
，	O
每	O
年	O
都	O
要	O
买	O
好	O
多	O
给	O
婆	O
婆	O
给	O
妈	O
妈	O
，	O
双	O
十	O
一	O
价	B_at_0
格	I_at_0
超	B_ot_0_f_PP
级	I_ot_0_f_PP
优	I_ot_0_f_PP
惠	I_ot_0_f_PP
，	O
很	B_ot_4_m_PP
满	I_ot_4_m_PP
意	I_ot_4_m_PP

棒	B_ot_4_m_PP
棒	I_ot_4_m_PP
哒	I_ot_4_m_PP
，	O
一	O
直	O
在	O
用	O
*	O
*	O
*	O

东	O
西	O
挺	B_ot_4_m_PP
好	I_ot_4_m_PP
！	O

不	B_ot_4_m_PP
错	I_ot_4_m_PP
挺	B_ot_4_m_PP
好	I_ot_4_m_PP
，	O
快	B_at_11
递	I_at_11
及	B_ot_11_f_PP
时	I_ot_11_f_PP
专	B_ot_11_f_PP
业	I_ot_11_f_PP

味	B_at_10
道	I_at_10
很	B_ot_10_f_PP
喜	I_ot_10_f_PP
欢	I_ot_10_f_PP
，	O
洗	O
完	O
脸	O
也	O
很	B_ot_8_m_PP
舒	I_ot_8_m_PP
服	I_ot_8_m_PP
不	B_ot_8_m_PP
干	I_ot_8_m_PP
燥	I_ot_8_m_PP
也	O
不	B_ot_8_m_PP
蜕	I_ot_8_m_PP
皮	I_ot_8_m_PP
，	O
总	O
之	O
很	B_ot_4_m_PP
满	I_ot_4_m_PP
意	I_ot_4_m_PP
的	O
啦	O
?	O
?	O
?	O
?	O

就	O
是	O
有	B_ot_0_m_PN
点	I_ot_0_m_PN
小	I_ot_0_m_PN
贵	I_ot_0_m_PN

面	O
膜	O
很	B_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP
，	O
用	O
完	O
感	O
觉	O
皮	O
肤	O
很	B_ot_8_m_PP
清	I_ot_8_m_PP
爽	I_ot_8_m_PP

性	B_at_9
价	I_at_9
比	I_at_9
不	B_ot_9_f_PP
错	I_ot_9_f_PP
，	O
挺	B_ot_0_m_PP
优	I_ot_0_m_PP
惠	I_ot_0_m_PP
的	I_ot_0_m_PP
。	O
以	O
后	O
会	O
考	O
虑	O
回	O
购	O

之	O
前	O
也	O
有	O
买	O
过	O
，	O
这	O
是	O
并	O
不	O
是	O
第	O
一	O
次	O
购	O
买	O
，	O
应	O
该	O
是	O
之	O
前	O
一	O
样	O
吧	O
，	O
价	B_at_0
格	I_at_0
挺	B_ot_0_f_PP
优	I_ot_0_f_PP
惠	I_ot_0_f_PP
的	I_ot_0_f_PP

给	O
媳	O
妇	O
买	O
的	O
，	O
用	O
了	O
说	O
不	B_ot_4_m_PP
错	I_ot_4_m_PP
，	O
大	O
品	O
牌	O
值	O
得	O
信	O
赖	O

宝	O
贝	O
收	O
到	O
了	O
，	O
只	O
是	O
这	O
包	B_at_1
装	I_at_1
，	O
确	O
实	O
够	B_ot_1_f_PN
随	I_ot_1_f_PN
意	I_ot_1_f_PN
的	O
，	O
还	O
没	O
用	O
，	O
用	O
后	O
追	O
评	O

物	B_at_11
流	I_at_11
挺	B_ot_11_f_PP
快	I_ot_11_f_PP
的	I_ot_11_f_PP
哈	O

很	B_ot_8_m_PP
舒	I_ot_8_m_PP
服	I_ot_8_m_PP
，	O
特	B_ot_8_m_PP
别	I_ot_8_m_PP
水	I_ot_8_m_PP
嫩	I_ot_8_m_PP

买	O
隔	O
离	O
送	O
的	O
，	O
好	B_ot_4_m_PP
用	I_ot_4_m_PP

很	B_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP
，	O
好	B_ot_8_m_PP
推	I_ot_8_m_PP
开	I_ot_8_m_PP
，	O
性	B_at_0
价	I_at_0
比	I_at_0
很	B_ot_0_f_PP
高	I_ot_0_f_PP
，	O
送	O
了	O
我	O
面	O
膜	O
，	O
面	O
膜	O
也	O
很	B_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP

宝	O
贝	O
收	O
到	O
了	O
，	O
之	O
前	O
买	O
的	O
还	O
没	O
用	O
完	O
，	O
囤	O
着	O
，	O
满	B_ot_4_m_PP
意	I_ot_4_m_PP
，	O
还	O
会	O
回	O
购	O

气	O
垫	O
还	B_ot_4_m_PP
不	I_ot_4_m_PP
错	I_ot_4_m_PP
，	O
轻	B_ot_8_m_PP
薄	I_ot_8_m_PP
不	B_ot_8_m_PP
油	I_ot_8_m_PP
腻	I_ot_8_m_PP
，	O
还	O
送	O
了	O
两	O
个	O
替	O
换	O
装	O

挺	B_ot_4_m_PP
好	I_ot_4_m_PP
的	I_ot_4_m_PP
，	O
买	O
一	O
送	O
&	O
，	O
相	O
当	O
于	O
&	O
个	O
，	O
很	B_ot_0_m_PP
便	I_ot_0_m_PP
宜	I_ot_0_m_PP
里	O
面	O
的	O
化	O
妆	O
垫	O
很	B_ot_1_b_PP
贴	I_ot_1_b_PP
心	I_ot_1_b_PP
的	O
设	B_at_1
计	I_at_1
哦	O

价	B_at_0
格	I_at_0
实	B_ot_0_f_PP
惠	I_ot_0_f_PP
，	O
有	O
一	O
个	O
替	O
换	O
装	O
，	O
还	O
送	O
一	O
个	O
，	O
物	B_ot_4_m_PP
超	I_ot_4_m_PP
所	I_ot_4_m_PP
值	I_ot_4_m_PP

信	O
赖	O
*	O
*	O
物	B_at_11
流	I_at_11
超	B_ot_11_f_PP
级	I_ot_11_f_PP
速	I_ot_11_f_PP
度	I_ot_11_f_PP

还	B_ot_4_m_PU
行	I_ot_4_m_PU
吧	O
，	O
用	O
了	O
几	O
次	O
感	O
觉	O
有	B_ot_8_m_PN
点	I_ot_8_m_PN
干	I_ot_8_m_PN

用	O
了	O
￣	O
段	O
时	O
间	O
，	O
感	O
觉	O
有	O
点	O
连	B_ot_8_m_PN
连	I_ot_8_m_PN
的	I_ot_8_m_PN
，	O
没	O
有	O
之	O
前	O
用	O
的	O
别	O
家	O
的	O
好	O
。	O

感	O
觉	O
不	B_ot_7_m_PN
怎	I_ot_7_m_PN
么	I_ot_7_m_PN
补	I_ot_7_m_PN
水	I_ot_7_m_PN
将	O
就	O
了	O
毕	O
竟	O
便	B_ot_0_m_PP
宜	I_ot_0_m_PP

是	O
还	B_ot_4_m_PP
可	I_ot_4_m_PP
以	I_ot_4_m_PP
的	O
，	O
趁	O
着	O
活	O
动	O
价	O
买	O
的	O
，	O
价	B_at_0
格	I_at_0
也	O
很	B_ot_0_f_PP
实	I_ot_0_f_PP
惠	I_ot_0_f_PP
！	O

很	B_ot_4_m_PP
好	I_ot_4_m_PP
，	O
水	B_at_12
份	I_at_12
充	B_ot_12_f_PP
足	I_ot_12_f_PP
，	O
保	B_at_7
湿	I_at_7
效	I_at_7
果	I_at_7
，	O
棒	B_ot_7_f_PP

好	B_ot_4_m_PP
用	I_ot_4_m_PP
，	O
水	B_ot_8_m_PP
水	I_ot_8_m_PP
的	I_ot_8_m_PP
，	O
粉	O
很	B_ot_8_m_PP
细	I_ot_8_m_PP
，	O
推	O
荐	O

*	O
*	O
*	O
@	O
霜	O
品	O
质	O
好	B_ot_7_f_PP
遮	B_at_7
盖	I_at_7
力	I_at_7
好	B_ot_7_f_PP
还	O
有	O
礼	O
品	O
赠	O
送	O
哦	O
?	O
?	O
?	O

物	B_at_11
流	I_at_11
够	B_ot_11_f_PP
快	I_ot_11_f_PP
还	B_ot_4_m_PP
可	I_ot_4_m_PP
以	I_ot_4_m_PP
?	O

最	O
近	O
一	O
直	O
在	O
用	O
*	O
*	O
*	O
，	O
还	B_ot_4_m_PP
不	I_ot_4_m_PP
错	I_ot_4_m_PP
，	O
信	O
得	O
过	O
*	O
*	O
，	O
*	O
*	O
快	O
递	O
?	O
?	O
?	O

用	O
着	O
还	B_ot_4_m_PP
行	I_ot_4_m_PP
很	B_ot_7_m_PP
保	I_ot_7_m_PP
湿	I_ot_7_m_PP

面	O
膜	O
超	B_ot_0_m_PP
级	I_ot_0_m_PP
划	I_ot_0_m_PP
算	I_ot_0_m_PP
，	O
很	O
喜	O
欢	O
*	O
*	O
买	O
东	O
西	O
，	O
又	O
便	B_ot_0_m_PP
宜	I_ot_0_m_PP
又	O
快	B_ot_11_m_PP
。	O
购	O
物	O
体	O
验	O
很	O
好	O
！	O
面	O
膜	O
也	O
不	B_ot_7_b_PP
错	I_ot_7_b_PP
。	O
补	B_at_7
水	I_at_7
效	I_at_7
果	I_at_7
不	B_ot_7_b_PP
错	I_ot_7_b_PP
！	O

送	O
的	O
面	O
膜	O
也	O
很	B_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP
哦	O

买	O
好	O
几	O
次	O
是	B_ot_3_m_PP
正	I_ot_3_m_PP
品	I_ot_3_m_PP

非	B_ot_4_m_PP
常	I_ot_4_m_PP
不	I_ot_4_m_PP
错	I_ot_4_m_PP
，	O
老	O
客	O
户	O
了	O
，	O
他	O
家	O
保	B_at_7
湿	I_at_7
真	B_ot_7_f_PP
的	I_ot_7_f_PP
好	I_ot_7_f_PP
，	O
我	O
还	O
是	O
容	O
易	O
过	O
敏	O
的	O
皮	O
肤	O
，	O
用	O
他	O
家	O
的	O
没	O
事	O

之	O
前	O
用	O
过	O
，	O
这	O
次	O
是	O
回	O
购	O
，	O
很	B_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP
，	O
油	O
性	O
皮	O
肤	O
完	O
全	O
可	O
以	O
，	O
确	O
实	O
长	O
时	O
间	O
不	O
脱	O
妆	O
，	O
遮	B_at_7
瑕	I_at_7
力	I_at_7
一	B_ot_7_f_PU
般	I_ot_7_f_PU
般	I_ot_7_f_PU
，	O
均	O
匀	O
提	B_at_7
亮	I_at_7
肤	O
质	O
的	O
效	O
果	O
还	O
是	O
蛮	B_ot_7_f_PP
好	I_ot_7_f_PP
的	O
。	O

价	B_at_0
格	I_at_0
实	B_ot_0_f_PP
惠	I_ot_0_f_PP
，	O
物	B_at_11
流	I_at_11
快	B_ot_11_f_PP

脸	O
上	O
舒	O
服	O
上	O
很	O
好	O
，	O
很	B_ot_4_m_PP
舒	I_ot_4_m_PP
服	I_ot_4_m_PP
，	O
很	B_ot_4_m_PP
棒	I_ot_4_m_PP
，	O
非	B_ot_4_m_PP
常	I_ot_4_m_PP
好	I_ot_4_m_PP
。	O

怀	O
疑	O
产	O
品	O
的	O
正	O
品	O
性	O
，	O
跟	O
我	O
上	O
次	O
买	O
的	O
完	O
全	O
不	O
一	O
样	O
。	O
。	O
还	O
辣	B_ot_8_m_PN
眼	I_ot_8_m_PN
睛	I_ot_8_m_PN
，	O
还	O
要	O
泡	O
沫	O

很	B_ot_7_b_PP
好	I_ot_7_b_PP
卸	B_at_7
妆	I_at_7
，	O

一	O
直	O
在	O
用	O
这	O
个	O
牌	O
子	O
得	O
东	O
西	O
，	O
不	B_ot_4_m_PP
错	I_ot_4_m_PP
，	O
养	O
护	O
需	O
要	O
时	O
间	O

还	B_ot_4_m_PP
行	I_ot_4_m_PP
，	O
挺	B_ot_0_m_PP
实	I_ot_0_m_PP
惠	I_ot_0_m_PP
的	I_ot_0_m_PP

怎	O
么	O
只	O
有	O
一	O
个	O
替	O
换	O
装	O
，	O
而	O
且	O
不	B_ot_4_m_PN
是	I_ot_4_m_PN
很	I_ot_4_m_PN
好	I_ot_4_m_PN
用	I_ot_4_m_PN
，	O
已	O
经	O
拆	O
了	O
不	O
能	O
退	O
了	O

用	O
了	O
，	O
这	O
款	O
自	O
然	O
色	O
咋	O
那	B_ot_7_m_PN
么	I_ot_7_m_PN
白	I_ot_7_m_PN
?	O

非	B_ot_4_m_PP
常	I_ot_4_m_PP
好	I_ot_4_m_PP
。	O
第	O
一	O
次	O
买	O
。	O
用	O
起	O
来	O
很	B_ot_7_b_PP
好	I_ot_7_b_PP
。	O
很	B_ot_8_m_PP
白	I_ot_8_m_PP
。	O
隔	B_at_7
离	I_at_7
效	I_at_7
果	I_at_7
很	B_ot_7_b_PP
好	I_ot_7_b_PP
。	O
也	O
不	B_ot_8_m_PP
壳	I_ot_8_m_PP
粉	I_ot_8_m_PP
以	O
后	O
会	O
继	O
续	O
购	O
买	O
送	O
了	O
赠	B_at_0
品	I_at_0
都	O
是	B_ot_3_m_PP
正	I_ot_3_m_PP
品	I_ot_3_m_PP

物	B_at_11
流	I_at_11
快	B_ot_11_f_PP
首	O
选	O

一	B_ot_4_m_PP
如	I_ot_4_m_PP
既	I_ot_4_m_PP
往	I_ot_4_m_PP
的	I_ot_4_m_PP
好	I_ot_4_m_PP

气	O
垫	O
水	B_ot_4_m_PP
润	I_ot_4_m_PP
，	O
还	O
送	O
了	O
一	O
个	O
替	O
换	O
装	O
，	O
很	B_ot_0_m_PP
值	I_ot_0_m_PP

感	O
觉	O
很	B_ot_4_m_PP
好	I_ot_4_m_PP
，	O
喜	B_ot_4_m_PP
欢	I_ot_4_m_PP
！	O

防	O
晒	O
效	O
果	O
：	O
不	O
知	O
道	O
咋	O
样	O
个	O
人	O
情	O
况	O
：	O
干	O
敏	O
皮	O
稍	B_ot_8_m_PN
微	I_ot_8_m_PN
过	I_ot_8_m_PN
敏	I_ot_8_m_PN
用	O
了	O

个	O
人	O
情	O
况	O
：	O
&	O
以	O
前	O
没	O
有	O
固	O
定	O
的	O
用	O
一	O
个	O
品	O
牌	O
整	O
体	O
描	O
述	O
：	O
总	O
体	O
来	O
说	O
还	B_ot_4_m_PP
不	I_ot_4_m_PP
错	I_ot_4_m_PP
！	O
这	O
款	O
有	B_ot_0_m_PN
点	I_ot_0_m_PN
小	I_ot_0_m_PN
贵	I_ot_0_m_PN
。	O

还	B_ot_4_m_PP
行	I_ot_4_m_PP
吧	I_ot_4_m_PP
！	O
还	B_ot_10_m_PP
挺	I_ot_10_m_PP
香	I_ot_10_m_PP
的	I_ot_10_m_PP
，	O
希	O
望	O
下	O
次	O
我	O
买	O
了	O
不	O
要	O
降	O
价	O

昨	O
天	O
下	O
单	O
，	O
今	O
天	O
上	O
午	O
就	O
收	O
到	O
了	O
，	O
买	O
时	O
以	O
为	O
是	O
&	O
片	O
，	O
收	O
到	O
实	O
际	O
是	O
&	O
片	O
，	O
好	B_ot_4_m_PP
惊	I_ot_4_m_PP
喜	I_ot_4_m_PP
，	O
抽	O
空	O
敷	O
一	O
片	O
，	O
期	O
待	O
效	O
果	O
。	O

隔	O
离	O
霜	O
，	O
马	O
上	O
效	O
果	O
挺	B_ot_4_m_PP
好	I_ot_4_m_PP
的	I_ot_4_m_PP
，	O
今	O
天	O
第	O
一	O
次	O
用	O
很	B_ot_4_m_PP
喜	I_ot_4_m_PP
欢	I_ot_4_m_PP
，	O
特	O
别	O
是	O
卸	O
妆	O
水	O
很	O
光	O
滑	O
不	O
以	O
前	O
的	O
那	O
种	O
没	O
有	O
你	O
怎	O
么	O
不	O
好	O
用	O
？	O

很	O
补	B_at_7
水	I_at_7
效	I_at_7
果	I_at_7
很	B_ot_7_f_PP
好	I_ot_7_f_PP
，	O
一	O
直	O
在	O
用	O
这	O
款	O
面	O
膜	O
，	O
感	O
觉	O
很	B_ot_8_m_PP
服	I_ot_8_m_PP
帖	I_ot_8_m_PP
。	O

给	O
闺	O
密	O
下	O
单	O
的	O
还	O
送	O
了	O
&	O
个	O
小	O
的	O
卸	O
妆	O
水	O
，	O
我	O
打	O
劫	O
了	O
一	O
个	O
碎	O
瓶	O
瓶	O
很	B_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP
的	O
图	O
片	O
是	O
偷	O
别	O
人	O
的	O
，	O
拿	O
回	O
来	O
忘	O
记	O
拍	O
照	O
了	O
?	O

不	B_ot_4_m_PP
错	I_ot_4_m_PP
很	B_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP
，	O
下	O
次	O
还	O
会	O
光	O
顾	O

效	O
果	O
还	B_ot_4_m_PP
不	I_ot_4_m_PP
错	I_ot_4_m_PP
，	O
活	B_at_0
动	I_at_0
购	O
买	O
的	O
，	O
价	B_at_0
格	I_at_0
很	B_ot_0_f_PP
实	I_ot_0_f_PP
惠	I_ot_0_f_PP

一	B_ot_4_m_PU
般	I_ot_4_m_PU
般	I_ot_4_m_PU
，	O
还	B_ot_4_m_PP
可	I_ot_4_m_PP
以	I_ot_4_m_PP
，	O
价	B_at_0
格	I_at_0
不	B_ot_0_f_PP
算	I_ot_0_f_PP
贵	I_ot_0_f_PP
！	O
用	O
起	O
来	O
一	B_ot_4_m_PU
般	I_ot_4_m_PU
般	I_ot_4_m_PU
啦	O

还	B_ot_4_m_PP
好	I_ot_4_m_PP
，	O
就	O
是	O
我	O
贴	O
了	O
脸	O
过	B_ot_8_m_PN
敏	I_ot_8_m_PN
但	O
*	O
*	O
售	B_at_2
后	I_at_2
不	B_ot_2_f_PP
错	I_ot_2_f_PP
?	O
退	O
还	O
给	O
我	O
了	O

很	B_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP
，	O
很	B_ot_4_m_PP
喜	I_ot_4_m_PP
欢	I_ot_4_m_PP

第	O
一	O
次	O
用	O
*	O
*	O
*	O
的	O
面	O
膜	O
，	O
感	O
觉	O
不	B_ot_4_m_PP
错	I_ot_4_m_PP
，	O
下	O
次	O
继	O
续	O
哦	O

非	B_ot_4_m_PP
常	I_ot_4_m_PP
好	I_ot_4_m_PP
跟	O
之	O
前	O
店	O
里	O
买	O
的	O
一	O
样	O

第	O
一	O
次	O
买	O
这	O
个	O
面	O
膜	O
，	O
包	B_at_1
装	I_at_1
很	B_ot_1_f_PP
可	I_ot_1_f_PP
爱	I_ot_1_f_PP
，	O
今	O
晚	O
试	O
试	O
效	O
果	O

我	O
只	O
能	O
说	O
不	O
得	O
不	O
佩	O
服	O
*	O
*	O
的	O
物	B_at_11
流	I_at_11
，	O
比	O
顺	O
丰	O
都	O
快	B_ot_11_f_PP
，	O
太	O
牛	O
了	O
，	O
上	O
午	O
下	O
单	O
下	O
午	O
就	O
到	O
，	O
厉	O
害	O
，	O
东	O
西	O
很	B_ot_4_m_PP
不	I_ot_4_m_PP
错	I_ot_4_m_PP
，	O
值	O
得	O
购	O
买	O

买	O
了	O
超	O
级	O
多	O
，	O
囤	O
货	O
中	O
，	O
赠	O
送	O
包	O
包	O
太	O
好	O
看	O
了	O
，	O
装	O
赠	O
的	O
旅	O
行	O
装	O
很	O
配	O
套	O
，	O
喜	B_ot_4_m_PP
欢	I_ot_4_m_PP
！	O
！	O

~	O
拍	O
的	O
徒	O
手	O
装	O
面	O
膜	O
，	O
都	O
不	B_ot_4_m_PN
敢	I_ot_4_m_PN
用	I_ot_4_m_PN
了	O
，	O
扔	O
柜	O
子	O
里	O
了	O
。	O

一	O
直	O
用	O
的	O
这	O
款	O
面	O
膜	O
补	B_at_7
水	I_at_7
挺	B_ot_7_f_PP
好	I_ot_7_f_PP
的	O
，	O
用	O
完	O
皮	O
肤	O
又	B_ot_7_m_PP
白	I_ot_7_m_PP
又	I_ot_7_m_PP
亮	I_ot_7_m_PP

水	B_ot_8_m_PP
润	I_ot_8_m_PP
保	B_ot_7_m_PP
湿	I_ot_7_m_PP
不	B_ot_8_m_PP
油	I_ot_8_m_PP
腻	I_ot_8_m_PP
?	O
?	O
?	O
?	O
?	O
?	O

老	O
顾	O
客	O
了	O
，	O
已	O
经	O
回	O
购	O
很	O
多	O
次	O
了	O
，	O
产	O
品	O
很	B_ot_2_b_PP
好	I_ot_2_b_PP
，	O
客	B_at_2
服	I_at_2
也	O
很	B_ot_2_b_PP
好	I_ot_2_b_PP

我	O
的	O
皮	O
肤	O
比	O
较	O
油	O
和	O
起	O
痘	O
，	O
这	O
个	O
面	O
膜	O
之	O
前	O
在	O
同	O
事	O
那	O
用	O
过	O
几	O
片	O
，	O
简	O
直	O
好	B_ot_4_m_PP
用	I_ot_4_m_PP
爆	I_ot_4_m_PP
了	I_ot_4_m_PP
，	O
看	O
到	O
有	O
活	B_at_0
动	I_at_0
果	O
断	O
买	O
了	O

面	O
膜	O
很	B_ot_7_f_PP
好	I_ot_7_f_PP
用	O
，	O
保	B_at_7
湿	I_at_7
效	I_at_7
果	I_at_7
很	B_ot_7_f_PP
好	I_ot_7_f_PP
，	O
第	O
二	O
次	O
购	O
买	O
了	O

很	B_ot_4_m_PP
好	I_ot_4_m_PP
，	O
不	B_ot_4_m_PP
错	I_ot_4_m_PP

之	O
前	O
买	O
过	O
。	O
用	O
了	O
还	B_ot_4_m_PP
不	I_ot_4_m_PP
错	I_ot_4_m_PP
。	O
继	O
续	O
回	O
购	O

用	O
了	O
几	O
天	O
才	O
来	O
评	O
价	O
，	O
真	B_ot_4_m_PP
心	I_ot_4_m_PP
不	I_ot_4_m_PP
错	I_ot_4_m_PP
直	O
得	O
购	O
买	O

满	B_ot_4_m_PP
意	I_ot_4_m_PP
&	O
块	O
钱	O
买	O
的	O
。	O
用	O
完	O
再	O
来	O

宝	O
贝	O
不	B_ot_4_m_PP
错	I_ot_4_m_PP
，	O
很	B_ot_4_m_PP
满	I_ot_4_m_PP
意	I_ot_4_m_PP

产	O
品	O
很	B_ot_4_m_PP
好	I_ot_4_m_PP
，	O
啥	O
赠	B_at_0
品	I_at_0
都	O
没	B_ot_0_f_PN

干	B_ot_8_m_PN
巴	I_ot_8_m_PN
巴	I_ot_8_m_PN
的	O
一	B_ot_8_m_PN
点	I_ot_8_m_PN
都	I_ot_8_m_PN
不	I_ot_8_m_PN
水	I_ot_8_m_PN
润	I_ot_8_m_PN
，	O
面	O
贴	O
很	B_ot_8_m_PN
硬	I_ot_8_m_PN
也	B_ot_4_m_PN
不	I_ot_4_m_PN
好	I_ot_4_m_PN
使	I_ot_4_m_PN
！	O
下	O
次	O
还	O
是	O
买	O
水	O
密	O
码	O
的	O

挺	B_ot_8_m_PP
好	I_ot_8_m_PP
用	I_ot_8_m_PP
的	O
，	O
快	B_at_11
递	I_at_11
很	B_ot_11_f_PP
快	I_ot_11_f_PP
，	O

很	B_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP
，	O
洗	O
了	O
很	B_ot_8_m_PP
温	I_ot_8_m_PP
和	I_ot_8_m_PP

保	B_at_7
湿	I_at_7
效	I_at_7
果	I_at_7
很	B_ot_7_f_PP
好	I_ot_7_f_PP
，	O
也	O
不	B_ot_8_m_PP
油	I_ot_8_m_PP
腻	I_ot_8_m_PP
。	O
非	B_ot_4_m_PP
常	I_ot_4_m_PP
喜	I_ot_4_m_PP
欢	I_ot_4_m_PP
的	O
一	O
次	O
购	O
物	O
。	O
。	O
。	O
。	O
。	O
。	O
。	O
。	O

不	B_ot_4_m_PP
错	I_ot_4_m_PP
的	O
面	O
膜	O
，	O
还	O
是	O
买	O
一	O
赠	O
一	O
，	O
用	O
完	O
还	O
会	O
再	O
来	O
购	O
买	O
！	O
！	O
！	O
不	B_ot_4_m_PP
错	I_ot_4_m_PP
的	O
一	O
次	O
购	O
物	O
！	O
！	O

一	O
直	O
买	O
在	O
*	O
*	O
买	O
一	O
个	O
牌	O
子	O
的	O
面	O
膜	O
，	O
真	O
的	O
很	B_ot_7_m_PP
补	I_ot_7_m_PP
水	I_ot_7_m_PP
，	O
用	O
完	O
还	O
来	O

不	B_ot_4_m_PP
错	I_ot_4_m_PP
，	O
很	B_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP
，	O
能	B_ot_7_m_PP
遮	I_ot_7_m_PP
暇	I_ot_7_m_PP
，	O
自	B_ot_7_m_PP
然	I_ot_7_m_PP
美	I_ot_7_m_PP
，	O
很	B_ot_4_m_PP
喜	I_ot_4_m_PP
欢	I_ot_4_m_PP

非	B_ot_4_m_PP
常	I_ot_4_m_PP
好	I_ot_4_m_PP
用	I_ot_4_m_PP
，	O
不	B_ot_8_m_PP
干	I_ot_8_m_PP
，	O
湿	B_ot_8_m_PP
润	I_ot_8_m_PP
，	O
美	B_ot_7_m_PP
白	I_ot_7_m_PP
，	O
效	O
果	O
好	O
！	O

买	O
了	O
一	O
瓶	O
用	O
了	O
几	O
次	O
被	O
儿	O
子	O
弄	O
到	O
地	O
上	O
碎	O
了	O
，	O
又	O
买	O
了	O
一	O
个	O
，	O
感	O
觉	O
还	B_ot_4_m_PP
可	I_ot_4_m_PP
以	I_ot_4_m_PP

第	O
二	O
次	O
购	O
买	O
，	O
很	B_ot_0_m_PP
超	I_ot_0_m_PP
值	I_ot_0_m_PP
，	O
洗	O
后	O
不	B_ot_8_m_PP
紧	I_ot_8_m_PP
绷	I_ot_8_m_PP

东	O
西	O
好	B_ot_4_m_PP
精	I_ot_4_m_PP
致	I_ot_4_m_PP
，	O
还	O
没	O
开	O
始	O
用	O
，	O
就	O
是	O
感	O
觉	O
好	O
小	O
一	O
瓶	O

第	O
一	O
次	O
买	O
，	O
买	O
一	O
送	O
一	O
，	O
真	O
的	O
很	B_ot_0_m_PP
划	I_ot_0_m_PP
算	I_ot_0_m_PP
，	O
非	O
常	O
满	O
意	O
。	O

还	B_ot_4_m_PP
行	I_ot_4_m_PP
吧	I_ot_4_m_PP
，	O
还	B_ot_4_m_PP
不	I_ot_4_m_PP
错	I_ot_4_m_PP
的	O
样	O
子	O
，	O
还	B_ot_4_m_PP
